Transaction Date ,Description ,Debit ,Credit ,Available Balance ,
"29/01/2025" ,"Opening Balance" , , ,"10892.57" ,
"06/02/2025" ,"ROYAL TAG POS Purchase - STAN (091860)   " ,"6460.0" , ,"4432.57" ,
"06/02/2025" ,"CAMBRIDGE SHOP POS Purchase - STAN (282501)   " ,"4648.0" , ,"22784.57" ,
"06/02/2025" ,"Payment of Profit  " , ,"84.66" ,"22869.23" ,
"20/06/2025" ,"CHG:PKR68.69 FBRTax:PKR85.86-STAN (447959)  " ,"251.4" , ,"9407.68" ,
"20/06/2025" ,"NIXIHOST.COM Online Purchase-STAN (447959)  " ,"1717.2" , ,"7690.48" ,
"04/07/2025" ,"Payment of Profit  " , ,"61.22" ,"7751.7" ,
"29/07/2025" ,"Closing Balance" , , ,"3783.01" ,
